# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y0, y1,y2,y3,y4,y5,y6,y7,y8,y9
1.000000000000000000e+00,1.076660156250000000e+02,4.700000000000000000e+01,4.120954408549167836e-01,2.826452255249023438e-01,3.194109243755999614e+03,3.052840218908816951e+03,6.993491044649767900e+03,1.593799886319659520e-01,2.449084872483511788e+01,6.896283898286745284e+01,-4.211277634730912212e+00,-1.029356810518913923e+00,5.253344427661398974e+00,2.989242294705392045e+00,4.337648833075389732e+00,4.283515255443044012e+00,6.419133338625054641e+00,3.628522809404242544e+00,1.081436438204706196e-01,-8.605362832484421756e-03,2.069138326464504907e+00,1.552778416446544574e+00,4.000854848656665297e+00,2.817994987503113613e+00,2.201692963583879781e+00,1.577578962731156054e+00,-4.714152583000529861e-01,5.271090599222559847e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.845703125000000000e+02,8.400000000000000000e+01,3.984179083999043747e-01,2.692662477493286133e-01,2.202301866338655145e+03,2.213201960503712598e+03,4.411306658765479369e+03,9.668724603328172906e-02,-6.280478813675274807e+01,7.210270923816109701e+01,-1.611347609714053775e+01,2.741856555869831524e+01,5.559253972585358916e+00,1.819537061266897515e+00,3.901882699513380182e+00,8.464469163647418526e+00,-2.006485576529436710e+00,5.825660644189480486e+00,1.555273925955562853e-01,-3.025746195705196206e-01,-6.683687796791913938e-01,-1.483679526614401611e+00,-6.495735608864706967e-02,3.209765812204337543e+00,6.705530849541627703e-01,1.124800095004146350e+00,-9.371703715499940524e-01,-3.078257102470631779e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.938401442307691980e+01,4.700000000000000000e+01,3.121576976916603519e-01,3.152145817875862122e-02,1.356373033141778933e+03,1.494742480051744906e+03,2.496726569302680218e+03,7.686121323529412908e-02,-2.834251932326839665e+02,1.595823981588219169e+02,-2.954063872697478743e+01,1.855221959588062930e+01,-9.888207447427225461e+00,-3.424281002154471842e+00,-1.099208915512496709e+01,-9.775556656800107547e+00,-8.296185178364289925e+00,-4.247249757434466311e+00,-2.861832707111641394e+00,-5.974322541294855071e+00,-4.022138520613443902e+00,-3.348464907529526968e+00,-3.386720903216116518e+00,-1.859289724058401649e+00,-4.420060381911120051e-01,1.898496856299747515e+00,-1.161150682265400802e-01,-2.816876770715701639e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.845703125000000000e+02,9.200000000000000000e+01,3.074646968446471118e-01,1.457501053810119629e-01,2.778008088793104434e+03,2.691239450532888895e+03,5.813673178846992414e+03,1.309024586397058709e-01,-7.706422209726180483e+01,6.452370607709200101e+01,-2.851429261489616618e+00,2.852947368167366093e+01,4.682234020210960246e+00,-2.815969715696766240e+00,-5.946821628140290805e+00,1.898380258487388783e+00,-5.204782029083398598e+00,-2.322443442082289256e+00,-2.940434408805979505e+00,-6.149091367175780753e+00,-7.611993124976679237e-01,-4.478189729919878737e+00,-4.157166845804471045e+00,2.125974861191206156e+00,8.421724970447612701e-01,-2.665220245877798710e+00,-3.322091029752284985e+00,-8.300901742372198910e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.174538352272727195e+02,5.600000000000000000e+01,4.457572881649967123e-01,1.423394232988357544e-01,2.296953538480161569e+03,2.565714203150172125e+03,4.887903776847910194e+03,9.633501838235293546e-02,-1.111910620771679277e+02,9.403417480544015916e+01,1.249318078370941087e+01,1.675070482785089609e+01,8.176768344561720525e+00,1.566567708563276540e+01,-1.381210732904509353e+00,7.044536993853008688e+00,9.825931960082996408e-01,-1.477927190620295761e+00,-3.073180104728128637e+00,-5.066660958055896558e+00,-3.684201326184776359e+00,2.418928857179840075e-01,-2.084945174768007448e+00,-1.817982633515161872e+00,-5.334895415959633347e+00,1.262823021491379816e+00,-5.582559962795539121e+00,-3.610763630289068438e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,6.983741554054054745e+01,3.400000000000000000e+01,3.023464265734795431e-01,1.034675836563110352e-01,1.831942367596668646e+03,1.729483241126698658e+03,3.480937284581801578e+03,9.403986975135447679e-02,-1.778690482144204452e+02,1.181969161607779313e+02,-1.755067264193526810e+01,3.075863455799998647e+01,-2.174274602483896146e+01,1.190380180486651973e+01,-2.073424857410241273e+01,3.180597271643196056e+00,-8.583483731605431544e+00,-9.364875014388336361e-01,-1.177627331038401159e+01,-2.420614626113749335e+00,-9.339364687322168734e+00,-9.939324892337740636e+00,-3.909892093194323959e+00,-5.570624715427677565e+00,-1.839023211815162817e+00,-2.778421089394000010e+00,-3.046866148739342250e+00,-8.115809021660661315e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.614990234375000000e+02,8.000000000000000000e+01,4.630638917958967982e-01,9.837906062602996826e-02,2.302678285324047465e+03,2.069371564011736154e+03,4.598838858117260315e+03,1.307501541940789547e-01,-9.989883733792331100e+01,1.063798125748623988e+02,-4.069681868068472141e+01,5.272129550984484325e+01,-2.075530554998455202e+01,2.528145518480562259e+01,-1.183356045897218678e+01,2.209654138086042252e+01,-1.247686972305719699e+01,1.377475692478131286e+01,-1.438763288489034231e+01,1.597959358372350636e+01,-1.172264472914235789e+01,5.775329127079627867e+00,-9.162231640880039052e+00,3.642686881655465392e+00,-8.893269373227774111e+00,2.383853570656369047e+00,-3.687260276431586270e+00,1.617241874365108467e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.123471467391304373e+02,5.500000000000000000e+01,3.480267231424948315e-01,1.530915945768356601e-01,1.560810749189719445e+03,1.782784840021869741e+03,3.175039134306066444e+03,6.718742441466718507e-02,-1.484047043467933520e+02,1.268619029537054104e+02,-1.954149154272688804e+01,5.283066928606925927e+01,8.582835665254963331e+00,1.789260548741122747e+01,-8.066345195231969356e+00,1.778205495959243265e+01,-1.549439374915469436e+01,1.350799081561442883e+01,-1.095257803508925143e+01,9.471370066628397311e+00,-1.924629724168566813e+00,1.864117512288005152e+00,-2.665216270819811939e+00,3.379755588127097088e+00,-3.516714357135870550e+00,2.106612789843753664e+00,2.094840955728224152e+00,-9.756554297717753843e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.435546875000000000e+02,6.900000000000000000e+01,4.615045094902786027e-01,1.845478117465972900e-01,2.459371553426838091e+03,2.221408982626034685e+03,5.024161286250725425e+03,1.428422957381965952e-01,-1.554217147415146627e+01,9.992737593214175718e+01,-3.742135724596302992e+01,4.580736523743714628e+01,-2.060467717793828157e+01,2.547151282363342872e+01,-1.848304764413968115e+01,2.635151277656842339e+01,-2.000511508368359870e+01,2.097276477079634560e+01,-1.349454862374000541e+01,1.082706873674886161e+01,-1.538725509485749932e+01,3.536341452199786239e+00,-7.572482044283815661e+00,3.796891699934915376e+00,-7.986312457791366448e+00,6.826614008485132779e+00,-1.930972455969489188e+00,3.783103683303265630e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.076660156250000000e+02,5.100000000000000000e+01,5.332983059895631817e-01,1.190994307398795943e-01,2.538368061403120919e+03,2.341604484275032064e+03,5.353609294123693871e+03,1.006698372194272384e-01,-1.299182754129067519e+02,7.199666985356179794e+01,-2.323532352191368133e+01,6.322348497900466668e+01,-6.852875328015049838e+00,3.438733209543426739e+01,-1.217779136552231023e+01,3.049063541542217592e+01,-7.570806388619232941e+00,2.059045101354099927e+01,-6.192503999662590353e+00,1.466647179500048459e+01,-2.934062575482758284e+00,9.043224394169099511e+00,-4.725941690720847355e+00,5.380303608527773562e+00,-2.408319127842567742e+00,1.620739234966489972e+00,-5.978243658746201561e+00,-8.269516975251117730e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.519990808823528994e+02,7.400000000000000000e+01,3.103219964744821091e-01,9.067656844854356246e-02,1.784275719512155092e+03,1.840084312472385591e+03,3.556653493402912773e+03,9.412943837074304321e-02,-1.654868035358009877e+02,1.178841092632782335e+02,-3.360979018540645313e+01,4.262024682201810322e+01,-1.385153436315872844e+00,3.833842737453613925e+00,7.173128545850447679e+00,-7.169502893203516969e+00,-1.631426196973298381e+00,8.724838991844383607e-01,-1.251631044807592552e+01,2.895231305144338130e+00,-1.236821101253033817e+01,-1.320187727990942861e+00,-6.638751767372928825e+00,-8.866574458508697631e+00,-5.108935043480145488e+00,-8.076595276659546130e+00,-4.263468617293586505e+00,-1.565317267321786610e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.076660156250000000e+02,5.200000000000000000e+01,4.552576456487311130e-01,1.287548094987869263e-01,2.188265129937236907e+03,2.350848140086683543e+03,4.994269800333784588e+03,1.062767572078173184e-01,-1.039136998735330195e+02,1.018953697861084891e+02,-1.034067551012825170e+01,4.367486148900840703e+01,-1.152131478875612736e+01,2.693073322446526063e+01,-9.990592823335319395e+00,2.501881442242547848e+01,-1.421732608261591935e+01,1.970172696147261959e+01,-1.053503522145536664e+01,1.267318288146097238e+01,-1.268304046095994408e+01,6.850266640265266993e+00,-6.088027164560871896e+00,5.453657099187313229e+00,-6.235964718485778491e+00,-1.455804522600116613e+00,-8.235833659999112655e+00,-3.271882368926257278e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.519990808823528994e+02,7.500000000000000000e+01,4.225204903380074817e-01,1.217856407165527205e-01,2.464470948321968081e+03,2.204255359516810131e+03,4.951478392420907767e+03,1.343782501693111531e-01,-7.962487737700278956e+01,9.347835069302423960e+01,-2.776432787247428990e+01,6.408994136402193931e+01,-1.881692988648172005e+01,2.333478073739134473e+01,-1.054791185181710667e+01,1.337137256767753790e+01,-1.754644920242187922e+01,1.640426009794564166e+01,-1.006064821377121632e+01,8.954432638276591305e+00,-1.609228620179410285e+01,4.291079993620653177e+00,-1.480744201784303904e+01,2.718447406929139776e-01,-8.219497323075710682e+00,3.418718151519664072e+00,-3.724499905041393610e+00,-2.438342728609138810e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.174538352272727195e+02,5.800000000000000000e+01,3.721064127527416998e-01,1.335641890764236450e-01,1.879785435181511502e+03,2.085582341462979912e+03,4.031808953536184163e+03,7.831736467202012053e-02,-1.224245553937729483e+02,1.114745546300143104e+02,-1.369588740184754627e+01,5.383732489181463166e+01,-2.673496373463718268e+00,1.968251260561074645e+01,-1.413444356323345019e+01,1.375085268544639305e+01,-1.401328644645809085e+01,1.462848553392316830e+01,-1.398853536540865150e+01,9.222936625692485180e+00,-1.055717329176854236e+01,3.002370069108248440e+00,-8.320477994240183861e+00,5.072613959283324370e+00,-9.643465780468753579e+00,4.323951461623671833e+00,-5.679803048083820194e+00,-1.667235232259543398e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.174538352272727195e+02,5.800000000000000000e+01,3.419783289209428756e-01,1.663533598184585571e-01,2.090279599205970499e+03,2.065161053433959296e+03,4.393148435232439624e+03,9.332936762287152854e-02,-6.786928777714138050e+01,1.089478338473174261e+02,-3.385133924566493846e+01,5.051356646675110085e+01,-2.137720907835553419e+01,2.151072934143565618e+01,-1.489035075278804499e+01,1.164552018302615366e+01,-1.926887360538525229e+01,1.054746572570451413e+01,-1.392561149751364447e+01,5.568095738937263839e+00,-1.443955201735801985e+01,1.998148272243406298e+00,-1.466456792834164169e+01,-3.021550678775652532e+00,-1.395692010744244627e+01,-2.078672950417381315e+00,-9.062591077352678326e+00,-7.542774881712343671e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.938401442307691980e+01,4.600000000000000000e+01,3.875339558740362733e-01,1.533143669366836548e-01,2.049759446337362078e+03,2.188191879342100947e+03,4.435639844959365291e+03,8.940724470297987947e-02,-1.009316106255601539e+02,1.116146126578697562e+02,-1.315225668164322315e+01,4.460817006156488418e+01,-5.963247570487348881e+00,2.934346018008296042e+01,-7.963473530839786818e+00,1.959178265588043999e+01,-2.245360455101410224e+01,1.727410260827060284e+01,-1.783426055902197760e+01,1.141173448738568474e+01,-1.245542467344979976e+01,1.652594494619785692e+00,-8.529222745777344628e+00,2.722644517137452702e+00,-7.304245890494387439e+00,4.875378576568416555e+00,-1.212340203559030050e+00,-1.297000834570728012e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
