# x0,tempo, beats, chroma_stft, rmse,spectral_centroid, spectral_bandwidth, rolloff,zero_crossing_rate, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20, y0, y1,y2,y3
1.000000000000000000e+00,3.919206099214841976e-02,1.719971590969713443e-02,7.919112380754796197e-05,2.202364000724643439e-05,3.784473674521097175e-01,5.360132685803209451e-01,7.452050369604803493e-01,1.533970314392737056e-05,-1.046869604186099340e-01,3.271031570909854053e-02,6.330789778421172867e-03,8.514259752824932317e-03,2.279999983257378297e-03,7.235551965047902490e-03,-2.215831918474168386e-03,4.078355895800110827e-03,-3.410878350576063405e-03,-1.335681841241954698e-04,-3.938090156192139944e-03,-2.833868981606250080e-03,-2.942590865536071337e-03,-2.901441165824666327e-03,-2.867841064147481477e-03,-2.433685465052029540e-03,-2.290401989755798656e-03,-2.983983991290118081e-03,-1.423773453885931800e-03,-1.174931771764939218e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.021429494176556207e-02,9.528312739534446421e-03,6.841104896712028177e-05,2.058972961667873878e-05,4.257074935213070455e-01,3.553272320764503389e-01,8.315415028429852251e-01,2.790777672220876981e-05,-1.158137782134052371e-02,1.486540420071723496e-02,-7.900734841944402620e-03,6.027378233215432111e-03,-2.903461820580600407e-03,3.550628073147341166e-03,-4.960035289640443365e-03,3.951147953896844665e-03,-3.360385448108974427e-03,2.380252164367964787e-03,-3.040619737908741970e-03,1.500097077646766119e-03,-1.979953194852706027e-03,1.030200684067051047e-03,-1.899476848294900455e-03,8.074443547818384997e-04,-1.294169796413252582e-03,-1.053547713792971291e-04,-7.160952221532605570e-04,3.254273184955022832e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.880209674695500488e-02,3.322969657670621357e-02,9.059528876396660498e-05,4.661345687374400569e-05,4.594401626818874762e-01,4.592340061741524981e-01,7.520192542494914534e-01,3.248645766358789508e-05,-5.549219400094684146e-02,5.681254345872925604e-02,-1.692173514280485846e-02,5.519339357322528613e-04,-2.627612421044150156e-03,-9.088752719757151304e-04,-3.834046478387092768e-03,-2.431528456255554679e-03,-2.810612068525211206e-03,4.269658445661675601e-04,-1.902312223692665489e-03,-1.460848072993625301e-03,-1.888989218664548480e-03,-5.919268095786312358e-04,-1.070333436098369574e-03,-4.473538057191641824e-04,-2.111325360415313313e-03,-3.212260577517158213e-04,-1.400440478391617961e-03,-5.391975717308853397e-04,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,3.406624665040263594e-02,1.603127183262847977e-02,1.308812832993045978e-04,4.864365549930619676e-05,4.063034358135203528e-01,5.208968477220473625e-01,7.394414576084454849e-01,1.930858300911176745e-05,-9.666278795079993880e-02,7.609536617101461675e-02,1.905274187375138829e-03,1.019760883764819076e-02,4.743451178648448773e-04,1.677932956227965984e-03,-2.524412181780801966e-03,7.850728492834640245e-04,-5.539687220495407259e-03,2.306164156472456383e-06,-5.691547781967194915e-03,6.660968348193438892e-04,-5.662687993929028940e-03,-2.406197934645951456e-03,-3.203614612954828848e-03,-4.141280553712164449e-03,-1.590470792492726902e-03,-2.026858361546154431e-03,-1.988791261594120233e-03,-1.246716756441404450e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.313966955550188567e-02,1.128334363087330101e-02,1.059596312171265343e-04,2.241647802021371055e-05,3.596726772746458578e-01,5.360493395133033578e-01,7.569250979026821424e-01,1.143630200762799728e-05,-8.551372196833365025e-02,4.476892476959927480e-02,1.978477589073520618e-03,1.531369114870600491e-02,-7.745490952486384310e-04,6.783407944321998180e-03,1.316152387413049678e-03,5.692275849404261449e-03,-3.879360208432008732e-03,4.993770154014944701e-03,-3.673697669179003191e-04,2.543010706535189357e-03,1.604096459008163948e-04,-7.405831044793465413e-05,-1.247574455782348704e-03,1.310446543091496521e-03,-1.001275993987654159e-03,9.687219731609998880e-04,-4.511340061103159826e-04,-4.826242119371304084e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.216779406055877415e-02,5.768435702783418842e-03,5.031100703798753617e-05,1.986678735013497571e-05,4.003724429711201793e-01,3.768643117249482200e-01,8.347796186784433026e-01,2.219803466327234054e-05,-1.472729535495974351e-02,1.545710941394472238e-02,-2.402065245365537886e-03,8.964421668278915040e-03,-5.522598098316836533e-03,3.200821541037631324e-03,-3.256957775421414573e-03,2.146899727958599940e-03,-2.285282358875844431e-03,2.407541667206671444e-03,-2.467164233073677101e-03,1.744633821396969747e-03,-2.971063209482973418e-03,1.096702720202161977e-03,-1.681869341788539860e-03,1.075836704626435911e-03,-1.787678652027203073e-03,5.470822978424870605e-04,-1.020028263449157535e-03,4.935870115547359846e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.062998640984878979e-02,1.017134737362618800e-02,8.173519309224785501e-05,4.083545313416744762e-05,4.104185115590993083e-01,4.001706331305314723e-01,8.184477398019615046e-01,2.213349438731680049e-05,-1.153705696208503183e-02,2.385821295897174246e-02,-7.691371709523777203e-03,1.347112205442687824e-02,-1.481976305971401293e-03,3.163161353620724987e-03,-3.367466461293506380e-03,3.867355725947515047e-03,-2.023037812494940784e-03,4.454643710518890569e-03,-1.171036670684612096e-03,2.653334369820124425e-03,-3.430999086920883366e-03,7.875088282519898024e-04,-1.637975120927464721e-03,1.759769543767531223e-03,-8.438501662496311877e-04,6.657958099110421538e-04,-1.074893561295305749e-03,-2.656016281192258147e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,2.171088871196869691e-02,1.058664287669330677e-02,6.843403789376798700e-05,1.810004514756026730e-05,3.374504558621534422e-01,4.166681469353512579e-01,8.428490056682446108e-01,1.030891122203644014e-05,-3.222543934514561503e-02,1.599938120397754668e-02,2.491228490001194413e-03,1.191876481018343432e-02,4.752015477681626084e-04,6.780838024855002574e-03,-1.484052952618064971e-03,4.257144284123776622e-03,-2.431750222768301085e-03,8.532827599718929455e-04,-2.943445053226831191e-03,1.025441368941924520e-03,-9.086045233674077109e-04,3.405094249194040270e-05,-2.555044310292850247e-03,1.210914992944888422e-03,-7.838283589773234299e-04,-5.270187630258585084e-04,-8.497983241213992326e-04,9.528551706216123896e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.997708241126585835e-02,9.648432510068792947e-03,7.219802653036339838e-05,2.071493434473621958e-05,3.583315382331592192e-01,4.098767300637682909e-01,8.378793471302840024e-01,1.551935851860643969e-05,-2.195690857668229981e-02,2.119526547050523679e-02,-1.257846296521025363e-03,6.938517784646444989e-03,-3.234206612331892543e-03,5.261717755647287754e-03,-4.401535394370549928e-03,1.722243568831893085e-03,-1.936519288504104331e-03,2.341624415548603389e-03,-9.544007020806628090e-04,2.273318709831811685e-03,-7.176300095164709703e-04,8.115736980692446652e-04,-1.715591603761582864e-03,6.446004502344745415e-04,-1.474752123900910112e-03,6.797098208678409520e-04,-1.141877240719923504e-03,5.014717137371234095e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.467092537261980287e-02,1.095113100379908888e-02,6.410368092988245902e-05,3.383957015471476485e-06,4.059498426861780640e-01,4.623623448159228100e-01,7.755425690286940066e-01,2.242092426586108370e-05,-1.330524279197936033e-01,3.698388113575086511e-02,-5.881536089388036612e-03,8.143663702268719509e-03,-1.707416442204608229e-03,6.511588543102745296e-04,-1.946147419528889561e-03,3.139975052743547955e-03,9.961978136370493262e-04,4.261651991985340206e-03,5.895672657162440806e-04,1.555023915297043882e-03,1.306753997131916223e-03,1.498038630881521217e-03,2.124750378125587168e-03,1.835548713013283395e-03,2.119891661510659667e-03,1.135916669603428313e-03,7.701304782026319531e-04,1.462142594384166494e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
